,ft1, ft2, ft3, ft4, ft5, ft6, ft7, ft8, ft9, ft10, ft11, ft12, ft13, ft14, ft15, ft16, ft17, ft18, ft24, ft25, ft19, ft39, ft20, ft33, ft21, ft35, ft22, ft23, ft34, ft36, ft37, ft38, ft40, ft41, ft42, ft43, ft44, ft45, ft46, ft48, ft47, ft49, ft51, ft50, ft52, ft53, ft54, ft55, ft26, ft27, ft28, ft29, ft30, ft31, ft32
DSP_autocor_c.c,9,4,2,0,5,2,0,4,0,0,2,0,7,0,0,10,0,0,25,3.57,0,0,2,0,22,3,10,0,6,2,0,0,0,6,0,0,0,0,3,2,6,3,0,60,25,0,5,0,0.86,1.67,3,0,4,0,3
DSP_blk_eswap16_c.c,9,4,2,0,5,2,0,3,1,1,1,0,6,1,0,10,0,0,26,3.71,0,0,2,0,23,4,3,0,4,2,0,0,0,3,0,0,0,0,2,2,3,1,0,58,15,0,8,0,0.57,2,2,0,5,0,2
DSP_blk_eswap32_c.c,9,4,2,0,5,2,0,3,1,1,1,0,6,1,0,10,0,0,48,6.86,0,0,2,0,45,8,7,0,5,4,0,0,0,7,0,0,0,0,2,3,6,2,0,106,26,0,12,0,0.57,2,2,0,5,0,2
DSP_blk_eswap64_c.c,9,4,2,0,5,2,0,3,1,1,1,0,6,1,0,10,0,0,90,12.86,0,0,2,0,87,16,13,0,6,8,0,0,0,13,0,0,0,0,2,4,9,5,0,198,45,0,20,0,0.57,2,2,0,5,0,2
DSP_blk_move_c.c,10,4,3,0,5,3,0,4,1,0,2,0,8,0,0,12,2,0,23,2.88,0,0,3,0,19,4,5,0,2,2,0,0,0,5,0,0,0,0,3,1,6,2,0,50,9,0,4,0,0.62,1.8,3,0,5,0,3
DSP_dotprod_c.c,6,2,1,0,3,1,0,2,0,0,1,0,4,0,0,6,0,0,15,3.75,0,0,1,0,13,2,4,0,3,2,0,0,0,2,0,0,0,0,2,1,3,1,0,35,14,0,4,0,0.5,2,1,0,3,0,1
DSP_dotp_sqr_c.c,6,2,1,0,3,1,0,2,0,0,1,0,3,1,0,6,0,0,24,6,0,0,1,0,22,2,6,0,4,4,0,0,0,2,0,0,0,0,1,1,2,1,0,56,18,0,5,0,0.75,2,1,0,3,0,1
DSP_fir_cplx_c.c,9,4,2,0,5,2,0,4,0,0,2,0,5,2,0,10,0,0,90,12.86,0,0,2,0,87,6,25,0,16,4,0,0,0,15,0,0,0,0,7,3,9,8,0,198,56,0,9,0,1.14,1.62,3,0,4,0,3
DSP_firlms2_c.c,6,2,1,0,3,1,0,2,0,0,1,0,3,1,0,6,0,0,34,8.5,0,0,1,0,32,3,9,0,9,3,0,0,0,5,0,0,0,0,2,2,3,4,0,76,28,0,5,0,0.75,2,1,0,3,0,1
DSP_fltoq15_c.c,10,4,3,0,5,3,0,3,1,1,2,0,8,0,0,12,2,0,16,2,0,0,3,0,12,2,3,1,3,1,0,0,0,3,0,0,0,0,1,1,6,2,0,33,13,0,4,0,0.5,2,3,0,5,0,3
DSP_mat_mul_c.c,12,6,3,0,7,3,0,6,0,0,3,0,9,1,0,14,0,0,31,3.1,0,0,3,0,27,3,15,0,6,2,0,0,0,6,0,0,0,0,7,3,10,3,0,76,33,0,6,0,0.9,1.67,5,0,5,0,5
DSP_mat_trans_c.c,9,4,2,0,5,2,0,4,0,0,2,0,6,1,0,10,0,0,21,3,0,0,2,0,18,2,8,0,4,1,0,0,0,4,0,0,0,0,3,2,5,2,0,48,19,0,4,0,0.71,1.8,3,0,4,0,3
DSP_maxidx_c.c,8,3,2,0,4,2,0,2,1,1,1,0,6,0,0,9,1,0,12,2,0,0,2,0,9,1,2,0,1,1,0,0,0,2,0,0,0,0,2,1,3,1,0,31,9,0,2,0,0.83,2,2,0,4,0,2
DSP_maxval_c.c,8,3,2,0,4,2,0,2,1,1,1,0,6,0,0,9,1,0,12,2,0,0,2,0,9,1,2,0,1,1,0,0,0,2,0,0,0,0,1,1,2,1,0,28,8,0,2,0,0.5,2,2,0,4,0,2
DSP_minerror_c.c,11,5,3,0,6,3,0,4,1,1,2,0,8,1,0,13,1,0,22,2.44,0,0,3,0,18,2,9,0,4,2,0,0,0,6,0,0,0,0,5,2,12,2,0,52,20,0,5,0,1,1.78,4,0,5,0,4
DSP_minval_c.c,8,3,2,0,4,2,0,2,1,1,1,0,6,0,0,9,1,0,12,2,0,0,2,0,9,1,2,0,1,1,0,0,0,2,0,0,0,0,1,1,2,1,0,28,8,0,2,0,0.5,2,2,0,4,0,2
DSP_mul32_c.c,6,2,1,0,3,1,0,2,0,0,1,0,3,1,0,6,0,0,44,11,0,0,1,0,42,3,10,0,12,2,0,0,0,5,0,0,0,0,1,1,5,1,0,95,31,0,6,0,0.5,2,1,0,3,0,1
DSP_neg32_c.c,6,2,1,0,3,1,0,2,0,0,1,0,4,0,0,6,0,0,12,3,0,0,1,0,10,2,2,0,2,1,0,0,0,2,0,0,0,0,1,1,2,1,0,25,10,0,4,0,0.5,2,1,0,3,0,1
DSP_q15tofl_c.c,6,2,1,0,3,1,0,2,0,0,1,0,4,0,0,6,0,0,13,3.25,0,0,1,0,11,2,3,1,2,1,0,0,0,3,0,0,0,0,1,1,2,2,0,27,12,0,4,0,0.5,2,1,0,3,0,1
DSP_vecsumsq_c.c,6,2,1,0,3,1,0,2,0,0,1,0,4,0,0,6,0,0,10,2.5,0,0,1,0,8,1,4,0,2,1,0,0,0,2,0,0,0,0,2,1,3,1,0,24,10,0,2,0,0.5,2,1,0,3,0,1
DSP_w_vec_c.c,6,2,1,0,3,1,0,2,0,0,1,0,3,1,0,6,0,0,23,5.75,0,0,1,0,21,3,5,0,6,2,0,0,0,3,0,0,0,0,1,1,3,1,0,50,21,0,6,0,0.5,2,1,0,3,0,1
IMG_boundary_c.c,11,5,3,0,6,3,0,4,1,1,2,0,9,0,0,13,1,0,16,1.78,0,0,3,0,12,3,5,0,1,1,0,0,0,7,0,0,0,0,4,3,8,3,0,51,12,0,3,0,1.89,1.76,1,3,5,0,4
IMG_conv_3x3_c.c,13,6,4,0,7,4,0,5,1,1,3,0,10,1,0,16,2,0,56,5.09,0,0,4,0,51,12,11,0,15,6,0,0,0,8,0,0,0,0,7,6,12,6,0,135,46,0,13,0,1.09,1.83,4,1,6,0,5
IMG_corr_gen_c.c,9,4,2,0,5,2,0,4,0,0,2,0,6,1,0,10,0,0,25,3.57,0,0,2,0,22,3,9,0,6,3,0,0,0,5,0,0,0,0,3,2,5,3,0,57,26,0,6,0,0.71,1.8,3,0,4,0,3
IMG_dilate_bin_c.c,24,11,10,0,12,10,0,10,1,1,9,0,20,2,0,33,9,0,188,8.55,0,0,10,0,177,27,57,0,34,24,0,0,0,43,0,0,0,0,11,7,25,20,0,424,139,0,30,0,0.5,2,10,0,12,0,10
IMG_erode_bin_c.c,24,11,10,0,12,10,0,10,1,1,9,0,20,2,0,33,9,0,188,8.55,0,0,10,0,177,27,57,0,34,24,0,0,0,43,0,0,0,0,10,7,25,20,0,424,139,0,30,0,0.5,2,10,0,12,0,10
IMG_fdct_8x8_c.c,16,8,5,0,9,5,0,8,1,0,4,0,12,2,0,20,2,0,436,31.14,0,0,5,0,430,2,127,0,101,0,0,0,0,69,0,0,0,0,13,8,109,2,0,963,187,0,3,0,0.86,1.67,8,0,6,0,8
IMG_idct_8x8_12q4_c.c,32,16,13,0,17,13,0,15,2,1,11,0,27,3,0,44,10,0,485,16.17,0,0,13,0,471,2,152,0,121,0,0,0,0,92,0,0,0,0,13,14,131,2,0,1063,189,0,3,0,0.67,1.8,16,0,14,0,16
IMG_mad_8x8_c.c,17,9,5,0,10,5,0,8,1,1,4,0,14,1,0,21,1,0,36,2.4,0,0,5,0,30,3,15,0,8,2,0,0,0,8,0,0,0,0,11,4,21,1,0,104,37,0,6,0,1.53,1.65,5,3,7,0,8
IMG_median_3x3_c.c,32,15,14,0,16,14,0,14,1,1,13,0,30,0,0,45,13,0,31,1.03,0,0,14,0,16,4,4,0,3,3,0,0,0,2,0,0,0,0,1,1,3,0,0,109,26,0,6,0,0.87,2,13,1,16,0,14
IMG_perimeter_c.c,15,6,6,0,7,6,0,4,3,2,3,0,12,1,0,20,6,0,53,4.08,0,0,6,0,46,8,13,0,4,7,0,0,3,11,0,0,0,0,14,3,6,3,0,117,34,0,9,0,0.54,2,4,0,9,0,4
IMG_pix_expand_c.c,6,2,1,0,3,1,0,2,0,0,1,0,4,0,0,6,0,0,11,2.75,0,0,1,0,9,2,2,0,2,1,0,0,0,2,0,0,0,0,1,1,2,1,0,23,10,0,4,0,0.5,2,1,0,3,0,1
IMG_pix_sat_c.c,11,5,3,0,7,1,1,4,2,0,1,0,9,0,0,13,0,0,20,2.22,0,0,3,0,16,4,2,0,3,1,0,0,2,2,0,0,0,0,3,1,4,1,0,39,11,0,4,0,0.33,2.33,2,0,7,0,2
IMG_quantize_c.c,10,4,3,0,5,3,0,4,1,0,2,0,7,1,0,12,2,0,30,3.75,0,0,3,0,26,2,10,0,7,2,0,0,0,6,0,0,0,0,4,3,7,2,0,67,26,0,4,0,0.75,1.83,3,0,5,0,3
IMG_sad_16x16_c.c,9,4,2,0,5,2,0,4,0,0,2,0,6,1,0,10,0,0,21,3,0,0,2,0,18,2,8,0,6,2,0,0,0,3,0,0,0,0,4,2,9,0,0,52,21,0,4,0,0.86,1.67,3,0,4,0,3
IMG_sad_8x8_c.c,9,4,2,0,5,2,0,4,0,0,2,0,6,1,0,10,0,0,21,3,0,0,2,0,18,2,8,0,6,2,0,0,0,3,0,0,0,0,4,2,9,0,0,52,21,0,4,0,0.86,1.67,3,0,4,0,3
IMG_sobel_c.c,8,3,2,0,4,2,0,2,1,1,1,0,5,1,0,9,1,0,76,12.67,0,0,2,0,73,9,26,0,16,8,0,0,0,12,0,0,0,0,1,3,10,5,0,174,64,0,11,0,0.5,2,2,0,4,0,2
IMG_wave_horz_c.c,15,8,4,0,9,4,0,8,0,0,4,0,11,2,0,18,0,0,55,4.23,0,0,4,0,50,6,26,0,12,4,0,0,0,16,0,0,0,0,7,4,23,6,0,128,50,0,10,0,1,1.62,7,0,6,0,7
IMG_wave_vert_c.c,15,8,4,0,9,4,0,8,0,0,4,0,11,2,0,18,0,0,50,3.85,0,0,4,0,45,6,21,0,12,4,0,0,0,15,0,0,0,0,7,4,22,6,0,114,38,0,10,0,1,1.62,7,0,6,0,7
IMG_ycbcr422p_rgb565_c.c,18,8,7,0,9,7,0,7,1,1,6,0,14,2,0,24,6,0,97,6.06,0,0,7,0,89,10,39,0,24,9,0,0,0,32,0,0,0,0,13,5,31,10,0,218,79,0,9,0,0.75,2,6,1,9,0,7
IMG_yc_demux_be16_c.c,6,2,1,0,3,1,0,2,0,0,1,0,3,1,0,6,0,0,46,11.5,0,0,1,0,44,8,12,0,7,4,0,0,0,12,0,0,0,0,1,5,7,6,0,99,37,0,12,0,0.5,2,1,0,3,0,1
IMG_yc_demux_le16_c.c,6,2,1,0,3,1,0,2,0,0,1,0,3,1,0,6,0,0,46,11.5,0,0,1,0,44,8,12,0,7,4,0,0,0,12,0,0,0,0,1,5,7,6,0,99,37,0,12,0,0.5,2,1,0,3,0,1
